2025/07/04 15:11:27 Loading cert from /certs/cert.pem
2025/07/04 15:11:27 Loading key from /certs/key.pem
2025/07/04 15:11:27 Opened archive /workdir/archive.wprgo
2025/07/04 15:11:27 Loading script from deterministic.js
2025/07/04 15:11:27 Use Ctrl-C to exit.
2025/07/04 15:11:27 Starting server on http://127.0.0.1:8080
2025/07/04 15:11:27 Starting server on https://127.0.0.1:8081
2025/07/04 15:16:33 ServeHTTP(https://tma.ifip.org/2025/wp-content/uploads/sites/14/2025/02/IPinfo-300x98.jpg): serving 200, 604009 bytes
2025/07/04 15:16:33 ServeHTTP(https://tma.ifip.org/2025/wp-content/uploads/sites/14/2022/04/image-1-300x115.png): serving 200, 13833 bytes
2025/07/04 15:16:33 ServeHTTP(https://tma.ifip.org/2025/wp-content/uploads/sites/14/2019/09/cropped-cropped-cropped-tma-conference-logo_1-32x32.png): serving 200, 2103 bytes
2025/07/04 15:16:36 ServeHTTP(https://android.clients.google.com/checkin): serving 200, 471 bytes
2025/07/04 15:16:36 ServeHTTP(https://android.clients.google.com/c2dm/register3): serving 200, 50 bytes
2025/07/04 15:16:38 ServeHTTP(https://android.clients.google.com/c2dm/register3): serving 200, 152 bytes
2025/07/04 15:16:52 ServeHTTP(https://accounts.google.com/ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard): serving 200, 43 bytes
2025/07/04 15:16:52 ServeHTTP(https://tma.ifip.org/robots.txt): serving 200, 109 bytes
2025/07/04 15:16:53 ServeHTTP(https://tma.ifip.org/favicon.ico): serving 302, 0 bytes
2025/07/04 15:16:53 ServeHTTP(https://tma.ifip.org/wp-includes/images/w-logo-blue-white-bg.png): serving 200, 4119 bytes
2025/07/04 15:16:55 ServeHTTP(https://android.clients.google.com/checkin): serving 200, 470 bytes
2025/07/04 15:16:55 ServeHTTP(https://android.clients.google.com/c2dm/register3): serving 200, 50 bytes
2025/07/04 15:16:55 ServeHTTP(https://android.clients.google.com/c2dm/register3): serving 200, 50 bytes
2025/07/04 15:17:10 ServeHTTP(https://accounts.google.com/ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard): serving 200, 43 bytes
2025/07/04 15:17:10 ScriptInjector(https://tma.ifip.org/): succesfully injected
