2025/07/04 09:21:57 Loading cert from /workdir/cert.pem
2025/07/04 09:21:57 Loading key from /workdir/key.pem
2025/07/04 09:21:57 Opened archive /workdir/archive.wprgo
2025/07/04 09:21:57 Loading script from deterministic.js
2025/07/04 09:21:57 Use Ctrl-C to exit.
2025/07/04 09:21:57 Starting server on https://127.0.0.1:8081
2025/07/04 09:21:57 Starting server on http://127.0.0.1:8080
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/plugins/megamenu/js/maxmegamenu.js?ver=3.6.1): serving 200, 6025 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/plugins/codeboxrflexiblecountdown/assets/js/codeboxrflexiblecountdown-public.js?ver=1.8.3): serving 200, 84901 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/assets/fonts/Lato-Regular.woff): serving 200, 37580 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/assets/fonts/Lato-Bold.woff): serving 200, 36784 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/uploads/sites/7/2017/01/ieee_mb_blue.gif): serving 200, 3035 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/uploads/sites/7/2017/01/ieee-comsoc-300x116.png): serving 200, 19101 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/uploads/sites/7/2016/12/acm_4c_grad_pos.png): serving 200, 11231 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/uploads/sites/7/2016/09/logoIFIP.gif): serving 200, 87007 bytes
2025/07/04 09:23:52 ServeHTTP(https://www.powr.io/powr.js): serving 200, 12471 bytes
2025/07/04 09:23:52 ServeHTTP(https://www.google-analytics.com/analytics.js): serving 200, 20994 bytes
2025/07/04 09:23:52 ServeHTTP(https://www.google-analytics.com/j/collect?v=1&_v=j101&a=992137445&t=pageview&_s=1&dl=https%3A%2F%2Ftma.ifip.org%2F2017%2F&ul=en-us&de=UTF-8&dt=TMA%20Conference%202017&sd=24-bit&sr=800x600&vp=1351x621&je=0&_u=IEBAAEABAAAAACAAI~&jid=992137445&gjid=992137445&cid=862956266.1751620917&tid=UA-84828087-1&_gid=862956266.1751620917&_r=1&_slc=1&z=1984274890): serving 200, 15 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/uploads/sites/7/2016/07/IMG_0456-600x450.jpg): serving 200, 59945 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/uploads/sites/7/2016/07/IMG_0451-600x450.jpg): serving 200, 36279 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/uploads/sites/7/2016/07/IMG_0459-600x450.jpg): serving 200, 63391 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/uploads/sites/7/2016/07/IMG_0461-600x450.jpg): serving 200, 65522 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/plugins/ml-slider/assets/metaslider/bg_direction_nav.png): serving 200, 2627 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-includes/js/wp-emoji-release.min.js?ver=6.8.1): serving 200, 5166 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/uploads/sites/7/2016/07/IMG_0469-600x450.jpg): serving 200, 34434 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/uploads/sites/7/2016/07/IMG_0472-600x450.jpg): serving 200, 33673 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/uploads/sites/7/2016/07/IMG_0450-600x450.jpg): serving 200, 45806 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/uploads/sites/7/2016/07/IMG_0462-600x450.jpg): serving 200, 56861 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/uploads/sites/7/2016/07/IMG_0464-600x450.jpg): serving 200, 66608 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/uploads/sites/7/2016/07/IMG_0463-600x450.jpg): serving 200, 75881 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/uploads/sites/7/2016/07/IMG_0449-600x450.jpg): serving 200, 58948 bytes
